Experiment;Depth;Sample date;Time (years);ambient CO2 (mean);increased CO2 (mean);ambient CO2 (n);increased CO2 (n);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2003;6.00;3625;4435;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2004;7.00;3235;3243;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2005;8.00;3741;3506;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2006;9.00;4243;3841;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2007;10.00;4374;3760;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2008;11.00;5119;3267;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2001;4.00;3193;3199;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2003;6.00;3081;3433;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2004;7.00;3418;2804;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2005;8.00;3886;2890;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2006;9.00;4073;3444;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2007;10.00;4382;3268;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);0-10 cm;2008;11.00;4783;3141;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2001;4.00;3256;3817;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2003;6.00;3347;3274;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2004;7.00;3408;3457;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2005;8.00;3653;3436;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2006;9.00;4433;4196;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2007;10.00;4125;3832;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;0-10 cm;2008;11.00;3484;3946;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2001;4.00;3305;3121;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2003;6.00;4105;3798;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2004;7.00;2943;3255;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2005;8.00;3578;3351;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2006;9.00;4083;4064;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2007;10.00;3909;4290;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);0-10 cm;2008;11.00;4113;3849;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2001;4.00;2908;3541;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2003;6.00;3327;3186;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2004;7.00;3135;3270;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2005;8.00;4206;3960;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2006;9.00;4023;3850;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2007;10.00;4014;4450;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;0-10 cm;2008;11.00;3948;4675;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2001;4.00;3449;3334;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2003;6.00;3512;2961;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2004;7.00;3321;3240;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2005;8.00;3564;3376;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2006;9.00;4115;3739;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2007;10.00;3982;3737;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);0-10 cm;2008;11.00;4093;3723;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GiFACE;0-7.5 cm;may 1998;0.00;3420;3528;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GiFACE;0-7.5 cm;june 2007;9.08;3150;3096;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;mar. 2004;2.00;1725;1767;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;oct. 2004;2.50;1707;1641;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;mar. 2005;3.00;1805;1744;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;oct. 2005;3.50;1567;1588;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;mar. 2006;4.00;1680;1717;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;0-10 cm;oct. 2006;4.50;1721;1763;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;jan. 1992;0.00;2646;2646;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;may 1993;1.41;2646;2354;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;may 1994;2.41;2252;2339;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;may 1995;3.41;2315;2315;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;may 1996;4.41;2497;2486;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;0-15 cm;may 1997;5.41;2612;2750;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Control;0-15 cm;2000;2.00;2384;2344;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Control;0-15 cm;2006;8.00;2428;2173;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Burn;0-15 cm;2000;2.00;2296;2497;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Burn;0-15 cm;2006;8.00;2544;2269;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N;0-15 cm;2000;2.00;2248;2381;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N;0-15 cm;2006;8.00;2552;2329;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N x Burn;0-15 cm;2000;2.00;2359;2425;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N x Burn;0-15 cm;2006;8.00;2529;2226;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water;0-15 cm;2000;2.00;2292;2268;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water;0-15 cm;2006;8.00;2311;2085;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x Burn;0-15 cm;2000;2.00;2394;2563;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x Burn;0-15 cm;2006;8.00;2396;2301;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N;0-15 cm;2000;2.00;2193;2264;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N;0-15 cm;2006;8.00;2626;2442;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N x Burn;0-15 cm;2000;2.00;2251;2569;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N x Burn;0-15 cm;2006;8.00;2232;2385;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat;0-15 cm;2000;2.00;2298;2295;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat;0-15 cm;2006;8.00;2385;2438;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x N;0-15 cm;2000;2.00;2288;2454;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x N;0-15 cm;2006;8.00;2283;2449;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water;0-15 cm;2000;2.00;2327;2310;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water;0-15 cm;2006;8.00;2074;2414;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water x N;0-15 cm;2000;2.00;2393;2453;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water x N;0-15 cm;2006;8.00;2110;2407;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;dec. 1996;0.62;1209;1335;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;jun. 1998;2.09;1131;1220;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;jul. 1998;2.17;1264;1292;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;aug. 1998;2.31;1356;1281;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;nov. 1998;2.55;1734;1567;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;sept. 1999;3.36;1782;1712;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;mar. 2001;4.87;2191;1941;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;may 2002;6.00;2099;1741;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;may 2002;6.00;1999;1628;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;0-10 cm;may 2007;11.00;1512;1411;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 1997;0;2685;2465;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 1998;1.00;2650;2490;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 1999;2.00;2655;2525;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2000;3.00;2675;2565;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2001;4.00;2515;2445;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2002;5.00;2585;2490;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2003;6.00;2519;2510;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2004;7.00;2599;2534;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
