Experiment;Depth;Sample date;Time (years);ambient CO2 (mean);increased CO2 (mean);ambient CO2 (n);increased CO2 (n);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;0-5 cm;end growing season  1997;1;527;542;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;0-5 cm;end growing season  1998;2;488;522;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;0-5 cm;end growing season  1999;3;618;616;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;0-5 cm;end growing season  2000;4;603;593;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;0-12.5 cm;spring 2001;0.00;4803;4142;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;0-12.5 cm;spring 2006;5.00;4671;4100;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;0-12.5 cm;spring 2007;6.00;4437;3836;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 1995;2.00;2878;2862;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 1996;3.00;2796;3584;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 1997;4.00;2855;2790;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 1998;5.00;3305;3368;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 1999;6.00;2970;2946;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 2000;7.00;2606;2759;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 2001;8.00;3733;3834;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 2002;9.00;3350;3498;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;0-10 cm;may 2003;10.00;3293;3198;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 1995;2.00;3528;3223;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 1996;3.00;3052;3892;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 1997;4.00;3075;3091;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 1998;5.00;3494;3606;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 1999;6.00;2986;3045;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 2000;7.00;2920;2588;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 2001;8.00;3434;3114;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 2002;9.00;3302;3439;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;0-10 cm;may 2003;10.00;3258;3332;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 1995;2.00;2822;2872;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 1996;3.00;3048;3500;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 1997;4.00;2862;2931;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 1998;5.00;3034;3291;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 1999;6.00;2758;2911;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 2000;7.00;2544;2987;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 2001;8.00;3443;3145;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 2002;9.00;3053;3591;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;0-10 cm;may 2003;10.00;2999;3076;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 1995;2.00;2916;3496;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 1996;3.00;3256;3688;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 1997;4.00;2725;2996;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 1998;5.00;3233;3406;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 1999;6.00;2759;3153;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 2000;7.00;2630;2434;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 2001;8.00;3528;3572;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 2002;9.00;3209;3456;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;0-10 cm;may 2003;10.00;2993;3236;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swiss Greenhouse;0-20 cm;-;0.00;1280;1280;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swiss Greenhouse;0-20 cm;-;0.25;1205;980;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tallgrass Prairie;0-5 cm;nov. 1992;2.50;2985;2860;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tallgrass Prairie;0-5 cm;oct. 1996;8.00;2181;2372;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UMBS - aspen;0-15 cm;may 1991;0.00;297;297;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UMBS - aspen;0-15 cm;oct. 1991;0.50;242;290;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - loam, low N;0-10 cm;jan. 1995;0.00;1290;1290;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - loam, low N;0-10 cm;sept. 1998;3.75;1317;1471;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - loam, high N;0-10 cm;jan. 1995;0.00;1290;1290;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - loam, high N;0-10 cm;sept. 1998;3.75;1482;1547;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - sand, low N;0-10 cm;jan. 1995;0.00;1310;1310;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - sand, low N;0-10 cm;sept. 1998;3.75;1167;1214;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - sand, high N;0-10 cm;jan. 1995;0.00;1310;1310;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSL - sand, high N;0-10 cm;sept. 1998;3.75;1120;1183;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
